,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
267,./34_21_WF_0151.JPG,34_21_WF_0151.JPG,863 kB,BTC5HDPX,11/4/19 20:56,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",160,4,2
269,./34_21_WF_0152.JPG,34_21_WF_0152.JPG,837 kB,BTC5HDPX,11/4/19 20:56,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",160,4,2
270,./34_21_WF_0153.JPG,34_21_WF_0153.JPG,837 kB,BTC5HDPX,11/4/19 20:56,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",160,4,2
272,./34_21_WF_0154.JPG,34_21_WF_0154.JPG,852 kB,BTC5HDPX,11/4/19 23:58,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",161,4,2
273,./34_21_WF_0155.JPG,34_21_WF_0155.JPG,851 kB,BTC5HDPX,11/4/19 23:58,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",161,4,2
275,./34_21_WF_0156.JPG,34_21_WF_0156.JPG,851 kB,BTC5HDPX,11/4/19 23:58,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",161,4,2
276,./34_21_WF_0157.JPG,34_21_WF_0157.JPG,771 kB,BTC5HDPX,11/5/19 2:26,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",162,4,2
278,./34_21_WF_0158.JPG,34_21_WF_0158.JPG,874 kB,BTC5HDPX,11/5/19 2:26,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",162,4,2
279,./34_21_WF_0159.JPG,34_21_WF_0159.JPG,874 kB,BTC5HDPX,11/5/19 2:27,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",162,4,2
723,./36_32_WF_0343.JPG,36_32_WF_0343.JPG,866 kB,BTC5HDPX,11/5/19 13:27,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",163,4,2
724,./36_32_WF_0344.JPG,36_32_WF_0344.JPG,859 kB,BTC5HDPX,11/5/19 13:27,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",163,4,2
725,./36_32_WF_0345.JPG,36_32_WF_0345.JPG,859 kB,BTC5HDPX,11/5/19 13:27,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",163,4,2
281,./34_21_WF_0160.JPG,34_21_WF_0160.JPG,878 kB,BTC5HDPX,11/5/19 20:36,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",164,4,2
282,./34_21_WF_0161.JPG,34_21_WF_0161.JPG,843 kB,BTC5HDPX,11/5/19 20:36,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",164,4,2
284,./34_21_WF_0162.JPG,34_21_WF_0162.JPG,839 kB,BTC5HDPX,11/5/19 20:37,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",164,4,2
285,./34_21_WF_0163.JPG,34_21_WF_0163.JPG,868 kB,BTC5HDPX,11/5/19 20:38,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",165,4,2
287,./34_21_WF_0164.JPG,34_21_WF_0164.JPG,860 kB,BTC5HDPX,11/5/19 20:38,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",165,4,2
288,./34_21_WF_0165.JPG,34_21_WF_0165.JPG,860 kB,BTC5HDPX,11/5/19 20:38,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",165,4,2
291,./34_21_WF_0169.JPG,34_21_WF_0169.JPG,741 kB,BTC5HDPX,11/6/19 8:20,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",166,4,2
292,./34_21_WF_0170.JPG,34_21_WF_0170.JPG,762 kB,BTC5HDPX,11/6/19 8:20,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",166,4,2
293,./34_21_WF_0171.JPG,34_21_WF_0171.JPG,762 kB,BTC5HDPX,11/6/19 8:20,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",166,4,2
294,./34_21_WF_0172.JPG,34_21_WF_0172.JPG,741 kB,BTC5HDPX,11/6/19 8:52,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",167,4,2
295,./34_21_WF_0173.JPG,34_21_WF_0173.JPG,763 kB,BTC5HDPX,11/6/19 8:52,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",167,4,2
296,./34_21_WF_0174.JPG,34_21_WF_0174.JPG,761 kB,BTC5HDPX,11/6/19 8:52,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",167,4,2
726,./36_32_WF_0346.JPG,36_32_WF_0346.JPG,861 kB,BTC5HDPX,11/6/19 12:47,2000x1125,42.0 mm,1/146,2.4,100,Unknown (288),"Auto, Did not fire",168,4,2
727,./36_32_WF_0347.JPG,36_32_WF_0347.JPG,870 kB,BTC5HDPX,11/6/19 12:47,2000x1125,42.0 mm,1/173,2.4,100,Unknown (288),"Auto, Did not fire",168,4,2
728,./36_32_WF_0348.JPG,36_32_WF_0348.JPG,870 kB,BTC5HDPX,11/6/19 12:47,2000x1125,42.0 mm,1/173,2.4,100,Unknown (288),"Auto, Did not fire",168,4,2
729,./36_32_WF_0349.JPG,36_32_WF_0349.JPG,790 kB,BTC5HDPX,11/7/19 20:05,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Fired",169,4,2
730,./36_32_WF_0350.JPG,36_32_WF_0350.JPG,799 kB,BTC5HDPX,11/7/19 20:05,2000x1125,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Fired",169,4,2
731,./36_32_WF_0351.JPG,36_32_WF_0351.JPG,869 kB,BTC5HDPX,11/7/19 20:05,2000x1125,42.0 mm,24-Jan,2.4,100,Unknown (288),"Auto, Fired",169,4,2
732,./36_32_WF_0352.JPG,36_32_WF_0352.JPG,857 kB,BTC5HDPX,11/8/19 8:21,2000x1125,42.0 mm,1/103,2.4,100,Unknown (288),"Auto, Did not fire",170,4,2
733,./36_32_WF_0353.JPG,36_32_WF_0353.JPG,857 kB,BTC5HDPX,11/8/19 8:21,2000x1125,42.0 mm,1/103,2.4,100,Unknown (288),"Auto, Did not fire",170,4,2
